iter	Passed	Remaining
360	37344	66103
361	37410	65933
362	37493	65794
363	37621	65733
364	37730	65639
365	37833	65536
366	37912	65391
367	38118	65465
368	38180	65289
369	38263	65150
370	38330	64986
371	38381	64793
372	38463	64655
373	38546	64518
374	38609	64348
375	38663	64165
376	38761	64053
377	38843	63917
378	38909	63754
379	38995	63624
380	39204	63693
381	39376	63703
382	39455	63561
383	39542	63433
384	39689	63400
385	39924	63507
386	40018	63388
387	40185	63385
388	40286	63277
389	40367	63138
390	40461	63020
391	40529	62862
392	40593	62698
393	40757	62688
394	40857	62579
395	40915	62405
396	41088	62409
397	41163	62262
